FID,ID_POP_DOMIC_BAIRRO_2022,NUM_BAIRRO,BAIRRO,AREA_KM,POPULACAO,DOMICILIOS
POP_DOMIC_BAIRRO_2022.379,379,1388,São Vicente,0.0152193,514.0,201.0
POP_DOMIC_BAIRRO_2022.126,126,744,Paraíso,1.340783,12139.0,5392.0
POP_DOMIC_BAIRRO_2022.56,56,664,Engenho Nogueira,1.99226149,2359.0,1273.0
POP_DOMIC_BAIRRO_2022.455,455,1464,Vila Santo Antônio Barroquinha,0.03275511,381.0,160.0
POP_DOMIC_BAIRRO_2022.169,169,793,São Salvador,0.59213972,5304.0,2262.0
POP_DOMIC_BAIRRO_2022.432,432,1441,Vila Nova Cachoeirinha II,0.00690934,112.0,39.0
POP_DOMIC_BAIRRO_2022.7,7,608,Aparecida,0.9155825,8463.0,3861.0
POP_DOMIC_BAIRRO_2022.121,121,739,Padre Eustáquio,2.9747981,24674.0,12359.0
POP_DOMIC_BAIRRO_2022.196,196,821,Aparecida Sétima Seção,0.48969634,4610.0,1956.0
POP_DOMIC_BAIRRO_2022.88,88,704,Jardim Montanhês,0.59693277,4820.0,2351.0
POP_DOMIC_BAIRRO_2022.49,49,656,Coração Eucarístico,1.03943857,6505.0,3447.0
POP_DOMIC_BAIRRO_2022.448,448,1457,Vila PUC,0.00374339,72.0,28.0
POP_DOMIC_BAIRRO_2022.478,478,1487,Cidade Jardim Taquaril,2.08390156,1000.0,375.0
POP_DOMIC_BAIRRO_2022.469,469,1478,Vila União,0.01439096,744.0,320.0
POP_DOMIC_BAIRRO_2022.43,43,649,Conjunto Califórnia II,0.10893348,1841.0,884.0
POP_DOMIC_BAIRRO_2022.443,443,1452,Vila Paraíso,0.01782971,322.0,126.0
POP_DOMIC_BAIRRO_2022.141,141,765,Santa Efigênia,2.14894166,15386.0,8149.0
POP_DOMIC_BAIRRO_2022.429,429,1438,Vila Nossa Senhora do Rosário,0.02396665,526.0,208.0
POP_DOMIC_BAIRRO_2022.331,331,1336,João Alfredo,0.0183141,373.0,137.0
POP_DOMIC_BAIRRO_2022.42,42,647,Concórdia,0.91570497,8606.0,4159.0
POP_DOMIC_BAIRRO_2022.411,411,1420,Vila do Pombal,0.00375865,103.0,39.0
POP_DOMIC_BAIRRO_2022.458,458,1467,Vila São Geraldo,0.003796,158.0,63.0
POP_DOMIC_BAIRRO_2022.47,47,654,Coqueiros,0.67762213,6850.0,2863.0
POP_DOMIC_BAIRRO_2022.8,8,609,Graça,0.42511947,4866.0,2376.0
POP_DOMIC_BAIRRO_2022.422,422,1431,Vila Jardim Montanhês,0.03380868,394.0,160.0
POP_DOMIC_BAIRRO_2022.295,295,1298,Canadá,0.09201588,401.0,197.0
POP_DOMIC_BAIRRO_2022.157,157,781,São Cristóvão,0.31639222,2366.0,1355.0
POP_DOMIC_BAIRRO_2022.33,33,638,Casa Branca,0.66855862,5537.0,2189.0
POP_DOMIC_BAIRRO_2022.384,384,1393,Vila Tiradentes,0.04476108,1346.0,543.0
POP_DOMIC_BAIRRO_2022.475,475,1484,Novo Glória,0.70818539,6814.0,2816.0
POP_DOMIC_BAIRRO_2022.21,21,626,Caetano Furquim,0.02366609,458.0,167.0
POP_DOMIC_BAIRRO_2022.128,128,748,Pindorama,1.6117582,15234.0,6530.0
POP_DOMIC_BAIRRO_2022.94,94,710,Lagoinha,0.55552047,3115.0,1771.0
POP_DOMIC_BAIRRO_2022.22,22,627,Caiçara-Adelaide,0.7789744,9140.0,4209.0
POP_DOMIC_BAIRRO_2022.381,381,1390,Senhor dos Passos,0.12496584,2513.0,982.0
POP_DOMIC_BAIRRO_2022.41,41,646,Colégio Batista,0.77782878,9087.0,4549.0
POP_DOMIC_BAIRRO_2022.217,217,1133,Savassi,1.18655451,13705.0,8768.0
POP_DOMIC_BAIRRO_2022.172,172,797,Serra,1.53099296,19239.0,9668.0
POP_DOMIC_BAIRRO_2022.279,279,1282,Barão Homem de Melo I,0.00483811,123.0,45.0
POP_DOMIC_BAIRRO_2022.4,4,604,Alto dos Pinheiros,0.41008141,2777.0,1276.0
POP_DOMIC_BAIRRO_2022.468,468,1477,Vila Trinta e Um de Março,0.05576496,1242.0,508.0
POP_DOMIC_BAIRRO_2022.643,643,2033,Novo Lajedo,0.39718871,3469.0,1421.0
POP_DOMIC_BAIRRO_2022.52,52,659,Dom Cabral,0.53798321,3267.0,1483.0
POP_DOMIC_BAIRRO_2022.372,372,1381,Santana do Cafezal,0.17537091,3574.0,1324.0
POP_DOMIC_BAIRRO_2022.354,354,1362,Nossa Senhora da Conceição,0.20348438,5556.0,2270.0
POP_DOMIC_BAIRRO_2022.72,72,686,Grajaú,0.42585959,6181.0,3004.0
POP_DOMIC_BAIRRO_2022.51,51,658,Dom Bosco,1.11877574,8311.0,3666.0
POP_DOMIC_BAIRRO_2022.150,150,774,Santa Tereza,1.55698917,13247.0,6661.0
POP_DOMIC_BAIRRO_2022.37,37,642,Centro,2.02066559,14589.0,9741.0
POP_DOMIC_BAIRRO_2022.171,171,796,Saudade,0.59600096,4065.0,1721.0
POP_DOMIC_BAIRRO_2022.406,406,1415,Vila Coqueiral,0.0621183,1276.0,512.0
POP_DOMIC_BAIRRO_2022.487,487,1651,Belém,0.00161013,42.0,15.0
POP_DOMIC_BAIRRO_2022.216,216,1065,Jardim Guanabara,1.15145601,12134.0,5090.0
POP_DOMIC_BAIRRO_2022.163,163,787,Jardim São José,0.79179501,7045.0,3028.0
POP_DOMIC_BAIRRO_2022.127,127,746,Pedreira Prado Lopes,0.15071656,4332.0,1627.0
POP_DOMIC_BAIRRO_2022.323,323,1327,Grota,0.00683582,125.0,54.0
POP_DOMIC_BAIRRO_2022.58,58,666,Esplanada,0.82523455,7847.0,3529.0
POP_DOMIC_BAIRRO_2022.461,461,1470,Vila São Rafael,0.02902292,919.0,387.0
POP_DOMIC_BAIRRO_2022.313,313,1317,Conjunto Taquaril,1.09681067,14019.0,5330.0
POP_DOMIC_BAIRRO_2022.178,178,803,Taquaril,0.42168723,3739.0,1408.0
POP_DOMIC_BAIRRO_2022.335,335,1340,Lorena,0.00348584,54.0,28.0
POP_DOMIC_BAIRRO_2022.357,357,1365,Conjunto Novo Dom Bosco,0.02255388,633.0,244.0
POP_DOMIC_BAIRRO_2022.106,106,723,Minas Brasil,0.326059,3392.0,1732.0
POP_DOMIC_BAIRRO_2022.75,75,689,Gutierrez,1.2464268,16168.0,7591.0
POP_DOMIC_BAIRRO_2022.396,396,1405,Vila Antena,0.06441742,1857.0,732.0
POP_DOMIC_BAIRRO_2022.319,319,1323,Estrela,0.07384185,1534.0,528.0
POP_DOMIC_BAIRRO_2022.350,350,1358,Vila Madre Gertrudes III,0.01757461,128.0,65.0
POP_DOMIC_BAIRRO_2022.265,265,1258,Jonas Veiga,0.52425264,3113.0,1238.0
POP_DOMIC_BAIRRO_2022.218,218,1138,Bairro Novo das Indústrias,0.7536331,4560.0,1936.0
POP_DOMIC_BAIRRO_2022.6,6,607,Anchieta,0.69611103,11588.0,6103.0
POP_DOMIC_BAIRRO_2022.168,168,792,São Pedro,0.58265908,6149.0,3246.0
POP_DOMIC_BAIRRO_2022.190,190,815,Vila Paris,0.29911459,3352.0,1724.0
POP_DOMIC_BAIRRO_2022.369,369,1378,Santa Isabel,0.00576625,98.0,59.0
POP_DOMIC_BAIRRO_2022.371,371,1380,Santa Sofia,0.12780443,2828.0,1053.0
POP_DOMIC_BAIRRO_2022.486,486,1342,Mala e Cuia,0.00208651,45.0,21.0
POP_DOMIC_BAIRRO_2022.39,39,644,Cidade Jardim,0.51053915,1529.0,746.0
POP_DOMIC_BAIRRO_2022.438,438,1447,Vila Nova Gameleira III,0.01527853,144.0,64.0
POP_DOMIC_BAIRRO_2022.339,339,1346,Maravilha,0.00387372,58.0,23.0
POP_DOMIC_BAIRRO_2022.146,146,770,Santa Maria,0.7304321,6360.0,2629.0
POP_DOMIC_BAIRRO_2022.189,189,814,Vila Oeste,0.04783853,1167.0,468.0
POP_DOMIC_BAIRRO_2022.113,113,731,Nova Gameleira,1.16921128,8563.0,3841.0
POP_DOMIC_BAIRRO_2022.114,114,732,Nova Granada,0.62438894,6628.0,3231.0
POP_DOMIC_BAIRRO_2022.69,69,681,Funcionários,0.66775707,9292.0,4810.0
POP_DOMIC_BAIRRO_2022.321,321,1325,Fazendinha,0.20859885,3628.0,1367.0
POP_DOMIC_BAIRRO_2022.11,11,616,Barroca,0.23999768,2677.0,1350.0
POP_DOMIC_BAIRRO_2022.91,91,707,João Pinheiro,0.85334773,7737.0,3856.0
POP_DOMIC_BAIRRO_2022.315,315,1319,Delta,0.04538517,869.0,346.0
POP_DOMIC_BAIRRO_2022.24,24,629,Calafate,1.04423593,7159.0,3492.0
POP_DOMIC_BAIRRO_2022.402,402,1676,Vila Calafate,0.02125136,581.0,233.0
POP_DOMIC_BAIRRO_2022.9,9,612,Baleia,3.62297547,5.0,3.0
POP_DOMIC_BAIRRO_2022.403,403,1412,Vila Califórnia,0.10891016,2934.0,1252.0
